Year,fertility_rate,under_18,two_parents,mother_only,father_only,other_relatives,non_relatives
1960,3.654,63727.0,55877.0,5105.0,724.0,1601.0,420.0
1961,3.62,,,,,,
1962,3.4610000000000003,,,,,,
1963,3.319,,,,,,
1964,3.19,,,,,,
1965,2.9130000000000003,,,,,,
1966,2.721,,,,,,
1967,2.5580000000000003,,,,,,
1968,2.464,70326.0,60030.0,7556.0,776.0,1660.0,304.0
1969,2.456,70317.0,59857.0,7744.0,765.0,1602.0,349.0
1970,2.48,69162.0,58939.0,7452.0,748.0,1546.0,477.0
1971,2.266,70255.0,58606.0,8714.0,764.0,1707.0,464.0
1972,2.01,68811.0,57201.0,8838.0,796.0,1593.0,383.0
1973,1.879,67950.0,55807.0,9272.0,821.0,1629.0,421.0
1974,1.835,67047.0,54561.0,9647.0,842.0,1532.0,465.0
1975,1.774,66087.0,53072.0,10231.0,1014.0,1407.0,363.0
1976,1.7380000000000002,65129.0,52101.0,10310.0,811.0,1500.0,407.0
1977,1.79,64062.0,50735.0,10419.0,892.0,1626.0,390.0
1978,1.76,63206.0,49132.0,10725.0,985.0,1941.0,423.0
1979,1.808,62389.0,48295.0,10531.0,997.0,2143.0,423.0
1980,1.8395,63427.0,48624.0,11406.0,1060.0,1949.0,388.0
1981,1.8119999999999998,62918.0,48040.0,11416.0,1203.0,1911.0,348.0
1982,1.8275,62407.0,46797.0,12512.0,1189.0,1557.0,352.0
1983,1.7990000000000002,62281.0,46632.0,12739.0,1267.0,1349.0,294.0
1984,1.8065,62139.0,46555.0,12646.0,1378.0,1227.0,333.0
1985,1.844,62475.0,46149.0,13081.0,1554.0,1339.0,352.0
1986,1.8375,62763.0,46384.0,13180.0,1579.0,1348.0,272.0
1987,1.8719999999999999,62932.0,46009.0,13420.0,1651.0,1484.0,368.0
1988,1.9340000000000002,63179.0,45942.0,13521.0,1808.0,1516.0,392.0
1989,2.0140000000000002,63637.0,46549.0,13700.0,1793.0,1341.0,254.0
1990,2.081,64137.0,46503.0,13874.0,1993.0,1421.0,346.0
1991,2.0625,65093.0,46658.0,14608.0,2016.0,1428.0,383.0
1992,2.046,65965.0,46638.0,15396.0,2182.0,1334.0,415.0
1993,2.0195,66893.0,47181.0,15586.0,2286.0,1442.0,398.0
1994,2.0015,69508.0,48084.0,16334.0,2257.0,2150.0,684.0
1995,1.9780000000000002,70254.0,48276.0,16477.0,2461.0,2352.0,688.0
1996,1.976,70908.0,48224.0,16993.0,2759.0,2137.0,795.0
1997,1.9709999999999999,70983.0,48386.0,16740.0,3059.0,1983.0,815.0
1998,1.999,71377.0,48642.0,16634.0,3143.0,2126.0,833.0
1999,2.0075,71703.0,48775.0,16805.0,3094.0,2130.0,899.0
2000,2.056,72012.0,49795.0,16162.0,3058.0,2160.0,837.0
2001,2.0305,72006.0,49792.0,16117.0,3133.0,2187.0,775.0
2002,2.0205,72321.0,49666.0,16473.0,3297.0,2075.0,810.0
2003,2.0475,73001.0,49903.0,16770.0,3323.0,2212.0,793.0
2004,2.0515,73205.0,49603.0,17072.0,3402.0,2360.0,769.0
2005,2.057,73494.0,49481.0,17225.0,3497.0,2529.0,762.0
2006,2.108,73664.0,49661.0,17161.0,3458.0,2419.0,964.0
2007,2.12,73746.0,52153.0,16658.0,2389.0,2010.0,535.0
2008,2.072,74104.0,51785.0,16888.0,2613.0,2239.0,580.0
2009,2.002,74230.0,51835.0,16911.0,2504.0,2347.0,633.0
2010,1.931,74718.0,51823.0,17283.0,2572.0,2380.0,662.0
2011,1.8945,74002.0,50828.0,17615.0,2619.0,2363.0,576.0
2012,1.8805,73817.0,50267.0,17991.0,2924.0,2139.0,495.0
2013,1.8575,73910.0,50646.0,17532.0,2999.0,2121.0,612.0
2014,1.8625,73692.0,50602.0,17410.0,2848.0,2271.0,562.0
2015,1.8435,73623.0,50966.0,17006.0,2751.0,2430.0,469.0
2016,1.8205,73745.0,50679.0,17223.0,3006.0,2279.0,558.0
2017,1.7655,73781.0,50827.0,16767.0,3206.0,2421.0,560.0
2018,1.7295,73741.0,50953.0,16395.0,3251.0,2386.0,755.0
2019,,73525.0,51561.0,15764.0,3234.0,2319.0,647.0
