<<<<<<< HEAD
Year,fertility_rate,Men Total,Married Men,Unmarried Men Total,Never Married Men,Widowed Men,Divorced Men,Women Total,Married Women,Unmarried Women Total ,Never Married Women,Widowed Women,Divorced Women
1960,3.654,"60,273","41,781","18,492","15,274","2,112","1,106","64,607","42,583","22,024","12,252","8,064","1,708"
1961,3.62,,,,,,,,,,,,
1962,3.4610000000000003,,,,,,,,,,,,
1963,3.319,,,,,,,,,,,,
1964,3.19,,,,,,,,,,,,
1965,2.9130000000000003,,,,,,,,,,,,
1966,2.721,,,,,,,,,,,,
1967,2.5580000000000003,,,,,,,,,,,,
1968,2.464,,,,,,,,,,,,
1969,2.456,,,,,,,,,,,,
1970,2.48,"70,559","47,109","23,450","19,832","2,051","1,567","77,766","48,148","29,618","17,167","9,734","2,717"
1971,2.266,,,,,,,,,,,,
1972,2.01,,,,,,,,,,,,
1973,1.879,,,,,,,,,,,,
1974,1.835,,,,,,,,,,,,
1975,1.774,,,,,,,,,,,,
1976,1.7380000000000002,,,,,,,,,,,,
1977,1.79,,,,,,,,,,,,
1978,1.76,,,,,,,,,,,,
1979,1.808,,,,,,,,,,,,
1980,1.8395,"81,947","51,813","30,134","24,227","1,977","3,930","89,914","52,965","36,950","20,226","10,758","5,966"
1981,1.8119999999999998,,,,,,,,,,,,
1982,1.8275,,,,,,,,,,,,
1983,1.7990000000000002,,,,,,,,,,,,
1984,1.8065,,,,,,,,,,,,
1985,1.844,,,,,,,,,,,,
1986,1.8375,,,,,,,,,,,,
1987,1.8719999999999999,,,,,,,,,,,,
1988,1.9340000000000002,,,,,,,,,,,,
1989,2.0140000000000002,,,,,,,,,,,,
1990,2.081,"91,955","55,833","36,121","27,505","2,333","6,283","99,838","56,797","43,040","22,718","11,477","8,845"
1991,2.0625,,,,,,,,,,,,
1992,2.046,,,,,,,,,,,,
1993,2.0195,"94,854","56,833","38,021","28,775","2,468","6,778","102,400","57,768","44,631","23,534","11,214","9,883"
1994,2.0015,"96,768","57,068","39,700","30,228","2,222","7,250","104,032","58,185","45,847","24,645","11,073","10,129"
1995,1.9780000000000002,"97,704","57,570","39,953","30,286","2,284","7,383","105,028","58,984","46,045","24,693","11,082","10,270"
1996,1.976,"98,593","57,656","40,937","30,691","2,478","7,768","106,031","58,905","47,127","25,528","11,078","10,521"
1997,1.9709999999999999,"100,159","57,923","42,236","31,315","2,690","8,231","107,076","58,829","48,247","26,073","11,058","11,116"
1998,1.999,"101,123","58,633","42,491","31,591","2,569","8,331","108,168","59,333","48,835","26,713","11,029","11,093"
