DATE,SPDYNTFRTINUSA
1/1/1960,3.654
1/1/1961,3.62
1/1/1962,3.461
1/1/1963,3.319
1/1/1964,3.19
1/1/1965,2.913
1/1/1966,2.721
1/1/1967,2.558
1/1/1968,2.464
1/1/1969,2.456
1/1/1970,2.48
1/1/1971,2.266
1/1/1972,2.01
1/1/1973,1.879
1/1/1974,1.835
1/1/1975,1.774
1/1/1976,1.738
1/1/1977,1.79
1/1/1978,1.76
1/1/1979,1.808
1/1/1980,1.8395
1/1/1981,1.812
1/1/1982,1.8275
1/1/1983,1.799
1/1/1984,1.8065
1/1/1985,1.844
1/1/1986,1.8375
1/1/1987,1.872
1/1/1988,1.934
1/1/1989,2.014
1/1/1990,2.081
1/1/1991,2.0625
1/1/1992,2.046
1/1/1993,2.0195
1/1/1994,2.0015
1/1/1995,1.978
1/1/1996,1.976
1/1/1997,1.971
1/1/1998,1.999
1/1/1999,2.0075
1/1/2000,2.056
1/1/2001,2.0305
1/1/2002,2.0205
1/1/2003,2.0475
1/1/2004,2.0515
1/1/2005,2.057
1/1/2006,2.108
1/1/2007,2.12
1/1/2008,2.072
1/1/2009,2.002
1/1/2010,1.931
1/1/2011,1.8945
1/1/2012,1.8805
1/1/2013,1.8575
1/1/2014,1.8625
1/1/2015,1.8435
1/1/2016,1.8205
1/1/2017,1.7655
1/1/2018,1.7295
