,City,Country,lat,lng,temp,max temp,humidity,cloud,wind speed,Hotel Name
83,Mbamba,NG,9.98,13.1,79.02,79.02,48,0,2.75,Hotel
90,Iranshahr,IR,27.2,60.68,77.0,77.0,7,0,6.93,هتل خنونه سرزه
178,Abu Samrah,SY,35.3,37.18,78.08,78.08,25,0,3.58,Resort Safari Souria منتجع سفاري سورية
214,Cabo San Lucas,MX,22.89,-109.91,78.01,78.01,69,0,1.01,Nobu Hotel Los Cabos
259,Gusau,NG,12.16,6.66,77.49,77.49,37,0,5.97,Green Scenery Hotel
266,Urubichá,BO,-15.38,-62.95,70.45,70.45,89,0,1.45,
275,Dhārchula,IN,29.85,80.53,77.74,77.74,24,0,6.55,"Hotel Bala Paradise, Munsiyari"
312,Bāfq,IR,31.61,55.41,75.11,75.11,14,0,0.67,Alamdar Hotel
344,Sakakah,SA,29.97,40.21,75.2,75.2,13,0,7.52,Raoum Inn Hotel
393,Taoudenni,ML,22.68,-3.98,75.9,75.9,19,0,7.31,
409,Kano,NG,12.0,8.52,77.83,77.83,32,0,4.83,Marshall Hotel Apartments
481,Buraidah,SA,26.33,43.98,75.2,75.2,29,0,2.24,فندق براند القصيم
