City,Country,lat,lng,temp,max temp,humidity,cloud,wind speed
Yellowknife,CA,62.46,-114.35,22.73,23.0,73,90,9.17
Vaini,TO,-21.2,-175.2,71.6,71.6,78,90,5.82
Xam Nua,LA,20.42,104.04,70.92,70.92,58,90,4.29
Cape Town,ZA,-33.93,18.42,59.5,63.0,67,0,13.87
Pindamonhangaba,BR,-22.92,-45.46,61.0,61.0,95,9,0.72
Hervey Bay,AU,-25.3,152.85,76.26,77.0,61,90,12.75
Rikitea,PF,-23.12,-134.97,73.89,73.89,77,21,9.89
Kralupy nad Vltavou,CZ,50.24,14.31,45.14,48.0,93,100,5.82
Hermanus,ZA,-34.42,19.23,61.0,61.0,69,0,4.0
Esperance,AU,-33.87,121.9,60.8,60.8,100,90,14.99
Bengkulu,ID,-3.8,102.27,85.01,85.01,67,91,8.01
Hobart,AU,-42.88,147.33,58.48,59.0,58,75,12.75
Óbidos,BR,-1.92,-55.52,75.74,75.74,88,100,3.83
Valdemārpils,LV,57.37,22.59,44.6,44.6,93,75,5.82
Khatanga,RU,71.97,102.5,5.72,5.72,95,81,7.61
Rio Grande,BR,-32.03,-52.1,62.01,62.01,85,98,5.01
Tasiilaq,GL,65.61,-37.64,32.0,32.0,97,97,11.41
Atuona,PF,-9.8,-139.03,77.7,77.7,75,8,18.05
Eureka,US,40.8,-124.16,51.01,51.01,100,0,10.49
Punta Arenas,CL,-53.15,-70.92,37.2,37.4,74,75,8.05
Ribeira Grande,PT,38.52,-28.7,62.6,62.6,59,40,9.17
Dikson,RU,73.51,80.55,23.97,23.97,97,98,5.66
Sitka,US,57.05,-135.33,37.4,37.4,86,75,5.82
Pisco,PE,-13.7,-76.22,62.33,62.6,82,43,9.17
Puerto Ayora,EC,-0.74,-90.35,68.0,68.0,94,70,7.0
Huanren,CN,41.26,125.37,55.74,55.74,68,97,9.24
East London,ZA,-33.02,27.91,66.2,66.2,42,0,6.93
Ancud,CL,-41.87,-73.82,36.73,39.99,86,0,4.7
